"Time Step" "flow-time" "delta-time" "iters-per-timestep" "melting-francion" "outlet-temp" "pcm-temp" "pv-temp" "total-energy" "total-enternal-energy" "total-enthalpy" "total-entholpy-deviasion"
0 0 100 0 0 300.15 300.15 300.15 6114.127 6114.127 6224.699 6224.699
1 100 100 40 0 300.7178 300.8409 302.1448 8264.573 8264.573 8375.146 8375.146
2 200 100 40 0 301.2203 301.668 303.2109 10838.76 10838.76 10949.33 10949.33
3 300 100 40 0 301.6362 302.4826 304.0808 13374.04 13374.04 13484.62 13484.62
4 400 100 40 0 302.01 303.2647 304.8534 15808.14 15808.14 15918.71 15918.71
5 500 100 40 0 302.3407 303.9872 305.5342 18056.89 18056.89 18167.47 18167.47
6 600 100 40 0 302.6379 304.6498 306.1433 20119.2 20119.2 20229.77 20229.77
7 700 100 40 0 302.9146 305.2578 306.696 22011.59 22011.59 22122.16 22122.16
8 800 100 40 0.0004147041 303.1549 305.7989 307.1761 23772.48 23772.48 23883.05 23883.05
9 900 100 40 0.003793026 303.3495 306.1864 307.4796 25605.03 25605.03 25715.6 25715.6
10 1000 100 40 0.009648128 303.4961 306.4423 307.6639 27487.18 27487.18 27597.75 27597.75
11 1100 100 40 0.01706934 303.5946 306.608 307.7846 29378.99 29378.99 29489.56 29489.56
12 1200 100 40 0.02548683 303.663 306.7156 307.8691 31274.54 31274.54 31385.11 31385.11
13 1300 100 40 0.03448494 303.7079 306.7873 307.9325 33166.36 33166.36 33276.93 33276.93
14 1400 100 40 0.0437651 303.7424 306.8378 307.9826 35044.22 35044.22 35154.79 35154.79
15 1500 100 40 0.05322637 303.7692 306.875 308.0244 36914.37 36914.37 37024.94 37024.94
16 1600 100 40 0.0628057 303.7881 306.9037 308.0601 38779.97 38779.97 38890.54 38890.54
17 1700 100 40 0.07241138 303.8026 306.9272 308.0919 40634.22 40634.22 40744.79 40744.79
18 1800 100 40 0.08201459 303.8176 306.9465 308.1195 42475.15 42475.15 42585.72 42585.72
19 1900 100 40 0.09164122 303.8274 306.9634 308.1455 44312.91 44312.91 44423.48 44423.48
20 2000 100 40 0.1012152 303.8379 306.9788 308.1692 46136.12 46136.12 46246.7 46246.7
21 2100 100 10 0.1107626 303.8461 306.9932 308.1914 47951.3 47951.3 48061.88 48061.88
22 2200 100 10 0.120328 303.8541 307.0068 308.2128 49767.38 49767.38 49877.95 49877.95
23 2300 100 10 0.1298451 303.8631 307.02 308.2331 51573.12 51573.12 51683.69 51683.69
24 2400 100 10 0.1393594 303.8667 307.0328 308.2528 53377.07 53377.07 53487.65 53487.65
25 2500 100 10 0.1488322 303.8748 307.0452 308.2715 55172.34 55172.34 55282.91 55282.91
26 2600 100 10 0.158281 303.8803 307.0572 308.2893 56961.77 56961.77 57072.34 57072.34
27 2700 100 10 0.167729 303.8865 307.0693 308.3073 58751.32 58751.32 58861.9 58861.9
28 2800 100 10 0.1771207 303.8928 307.0814 308.3245 60530.45 60530.45 60641.02 60641.02
29 2900 100 10 0.1865507 303.8985 307.0934 308.3427 62316.41 62316.41 62426.98 62426.98
30 3000 100 10 0.1959053 303.9022 307.1052 308.36 64087.68 64087.68 64198.25 64198.25
31 3100 100 10 0.2052468 303.9093 307.1169 308.3773 65856.41 65856.41 65966.99 65966.99
