"Time Step" "flow-time" "delta-time" "iters-per-timestep" "melting-francion" "outlet-temp" "pcm-temp" "pv-temp" "total-energy" "total-enternal-energy" "total-enthalpy" "total-entholpy-deviasion"
0 0 100 0 0 300.15 300.15 300.15 6114.127 6114.127 6224.699 6224.699
1 100 100 40 0 300.6669 300.6793 301.6892 7761.579 7761.579 7872.151 7872.151
2 200 100 40 0 301.132 301.3336 302.5323 9798.056 9798.056 9908.628 9908.628
3 300 100 40 0 301.5365 301.9846 303.2276 11823.92 11823.92 11934.49 11934.49
4 400 100 40 0 301.8952 302.6124 303.8518 13778.15 13778.15 13888.72 13888.72
5 500 100 40 0 302.2247 303.2055 304.4179 15623.98 15623.98 15734.55 15734.55
6 600 100 40 0 302.5182 303.7531 304.9257 17328.1 17328.1 17438.68 17438.68
7 700 100 40 0 302.7895 304.2567 305.3859 18895.78 18895.78 19006.35 19006.35
8 800 100 40 0 303.0383 304.7199 305.8056 20337.24 20337.24 20447.81 20447.81
9 900 100 40 0 303.2739 305.1473 306.1916 21667.48 21667.48 21778.05 21778.05
10 1000 100 40 0 303.4822 305.539 306.5429 22886.55 22886.55 22997.12 22997.12
11 1100 100 40 0.0002170558 303.6722 305.8947 306.8594 24033.95 24033.95 24144.52 24144.52
12 1200 100 40 0.001748948 303.835 306.1756 307.092 25192.41 25192.41 25302.98 25302.98
13 1300 100 40 0.00469484 303.9613 306.3795 307.2497 26373.02 26373.02 26483.59 26483.59
14 1400 100 40 0.008711603 304.0593 306.5231 307.3599 27564.85 27564.85 27675.42 27675.42
15 1500 100 40 0.0134603 304.1295 306.6233 307.4388 28757.22 28757.22 28867.79 28867.79
16 1600 100 40 0.01871353 304.1809 306.6936 307.498 29950.13 29950.13 30060.71 30060.71
17 1700 100 40 0.02425065 304.2171 306.7435 307.5429 31132.25 31132.25 31242.82 31242.82
18 1800 100 40 0.02995629 304.2487 306.7799 307.5789 32303.42 32303.42 32413.99 32413.99
19 1900 100 40 0.03583227 304.2706 306.8083 307.6103 33481.33 33481.33 33591.9 33591.9
20 2000 100 40 0.04179452 304.2862 306.8305 307.6371 34656.29 34656.29 34766.86 34766.86
21 2100 100 10 0.04779158 304.3031 306.8485 307.6601 35824.22 35824.22 35934.79 35934.79
22 2200 100 10 0.05383669 304.3145 306.8635 307.6807 36991.84 36991.84 37102.41 37102.41
23 2300 100 10 0.05987437 304.3237 306.8763 307.6988 38151.3 38151.3 38261.88 38261.88
