"Time Step" "flow-time" "delta-time" "iters-per-timestep" "melting-francion" "outlet-temp" "pcm-temp" "pv-temp" "total-energy" "total-enternal-energy" "total-enthalpy" "total-entholpy-deviasion"
63 6300 100 10 0.5329368 304.9978 307.7527 309.2362 128598.2 128598.2 128708.8 128708.8
64 6400 100 10 0.5421346 305.0074 307.7804 309.2676 130389.9 130389.9 130500.5 130500.5
65 6500 100 10 0.5512581 305.0161 307.8103 309.3003 132174.9 132174.9 132285.5 132285.5
66 6600 100 10 0.5603253 305.0271 307.8423 309.3348 133955.7 133955.7 134066.3 134066.3
67 6700 100 10 0.5692837 305.0371 307.8758 309.3694 135721.2 135721.2 135831.7 135831.7
68 6800 100 10 0.5781598 305.0469 307.9111 309.4055 137476.9 137476.9 137587.5 137587.5
69 6900 100 10 0.586951 305.058 307.9485 309.4432 139223.4 139223.4 139334 139334
70 7000 100 10 0.5956528 305.0692 307.9883 309.4831 140960.7 140960.7 141071.2 141071.2
71 7100 100 10 0.6042384 305.0808 308.0296 309.5236 142681.3 142681.3 142791.9 142791.9
72 7200 100 10 0.612726 305.0929 308.0728 309.565 144389.7 144389.7 144500.3 144500.3
73 7300 100 10 0.6211277 305.1056 308.1189 309.6099 146091.1 146091.1 146201.7 146201.7
74 7400 100 10 0.6294499 305.12 308.167 309.6558 147784 147784 147894.5 147894.5
75 7500 100 10 0.63765 305.1338 308.2185 309.7036 149464.8 149464.8 149575.4 149575.4
76 7600 100 10 0.6456608 305.1494 308.2776 309.7552 151134.3 151134.3 151244.9 151244.9
77 7700 100 10 0.6534997 305.1676 308.3402 309.8088 152782.5 152782.5 152893.1 152893.1
78 7800 100 10 0.6612778 305.1855 308.4051 309.8677 154427 154427 154537.6 154537.6
79 7900 100 10 0.6689459 305.2043 308.4715 309.9276 156055.3 156055.3 156165.9 156165.9
80 8000 100 10 0.6765113 305.2253 308.54 309.9896 157671.5 157671.5 157782.1 157782.1
81 8100 100 10 0.6838867 305.2487 308.6141 310.0534 159269.6 159269.6 159380.2 159380.2
82 8200 100 10 0.6911421 305.2723 308.6907 310.1201 160853.5 160853.5 160964 160964
83 8300 100 10 0.6982892 305.2994 308.7663 310.1862 162414.1 162414.1 162524.7 162524.7
84 8400 100 10 0.705363 305.3248 308.8408 310.2522 163957.7 163957.7 164068.2 164068.2
85 8500 100 10 0.7123451 305.3513 308.9156 310.3194 165484.9 165484.9 165595.5 165595.5
86 8600 100 10 0.7192377 305.382 308.991 310.3874 166997.8 166997.8 167108.4 167108.4
87 8700 100 10 0.7260383 305.4101 309.0662 310.4548 168492.8 168492.8 168603.4 168603.4
88 8800 100 10 0.7327415 305.4419 309.1415 310.522 169970.4 169970.4 170080.9 170080.9
89 8900 100 10 0.739292 305.4746 309.22 310.5902 171429.2 171429.2 171539.8 171539.8
90 9000 100 10 0.7457035 305.5144 309.2997 310.6587 172866 172866 172976.6 172976.6
91 9100 100 10 0.7520142 305.5538 309.3816 310.7304 174291.1 174291.1 174401.7 174401.7
92 9200 100 10 0.7582628 305.5931 309.4631 310.8029 175703.6 175703.6 175814.2 175814.2
93 9300 100 10 0.7644089 305.6321 309.5431 310.8734 177092.2 177092.2 177202.7 177202.7
94 9400 100 10 0.77047 305.6764 309.6236 310.9452 178466.5 178466.5 178577.1 178577.1
95 9500 100 10 0.7764308 305.7198 309.705 311.0176 179825.4 179825.4 179936 179936
96 9600 100 10 0.7822903 305.768 309.7864 311.0892 181165.2 181165.2 181275.8 181275.8
97 9700 100 10 0.7880442 305.8126 309.8681 311.1613 182486.3 182486.3 182596.9 182596.9
98 9800 100 10 0.7936859 305.8611 309.9499 311.2325 183787.2 183787.2 183897.8 183897.8
99 9900 100 10 0.7992049 305.9128 310.0327 311.3039 185068.2 185068.2 185178.8 185178.8
100 10000 100 10 0.8046126 305.9655 310.1148 311.374 186326.5 186326.5 186437 186437
101 10100 100 10 0.8098862 306.0177 310.1981 311.4447 187563.5 187563.5 187674.1 187674.1
102 10200 100 10 0.8150187 306.0741 310.2823 311.5148 188777.6 188777.6 188888.1 188888.1
103 10300 100 10 0.8199704 306.1319 310.3692 311.5855 189966 189966 190076.5 190076.5
104 10400 100 10 0.8246848 306.195 310.4634 311.6591 191133.5 191133.5 191244 191244
105 10500 100 10 0.8291497 306.2584 310.562 311.7323 192268.1 192268.1 192378.7 192378.7
106 10600 100 10 0.8334488 306.3198 310.661 311.8072 193373.5 193373.5 193484.1 193484.1
107 10700 100 10 0.8375962 306.3897 310.7594 311.8825 194448.9 194448.9 194559.5 194559.5
108 10800 100 10 0.8415827 306.4499 310.8577 311.9585 195493.8 195493.8 195604.4 195604.4
