"Time Step" "flow-time" "delta-time" "iters-per-timestep" "melting-francion" "outlet-temp" "pcm-temp" "pv-temp" "total-energy" "total-enternal-energy" "total-enthalpy" "total-entholpy-deviasion"
0 0 100 0 0 300.15 300.15 300.15 6974.039 6974.039 7099.979 7099.979
1 100 100 40 0 300.8337 300.8342 302.1733 9402.955 9402.955 9528.896 9528.896
2 200 100 40 0 301.4404 301.663 303.2679 12345.12 12345.12 12471.06 12471.06
3 300 100 40 0 301.9436 302.4871 304.1628 15270.6 15270.6 15396.54 15396.54
4 400 100 40 0 302.4059 303.2809 304.9548 18088.65 18088.65 18214.59 18214.59
5 500 100 40 0 302.8117 304.0174 305.6514 20703.16 20703.16 20829.1 20829.1
6 600 100 40 0 303.1891 304.6982 306.2798 23120.26 23120.26 23246.2 23246.2
7 700 100 40 0 303.5305 305.3254 306.8498 25346.71 25346.71 25472.65 25472.65
8 800 100 10 0.000719125 303.8325 305.8765 307.3334 27461.26 27461.26 27587.2 27587.2
9 900 100 10 0.004652108 304.072 306.2618 307.6248 29694.48 29694.48 29820.42 29820.42
10 1000 100 10 0.01097893 304.2397 306.5172 307.8007 31993.1 31993.1 32119.04 32119.04
11 1100 100 10 0.01884808 304.354 306.6823 307.915 34310.17 34310.17 34436.11 34436.11
12 1200 100 10 0.0276851 304.434 306.7906 307.9972 36638.88 36638.88 36764.81 36764.81
13 1300 100 10 0.03705534 304.489 306.864 308.0598 38960.95 38960.95 39086.88 39086.88
14 1400 100 10 0.04674582 304.5272 306.9155 308.1103 41275.61 41275.61 41401.55 41401.55
15 1500 100 10 0.05659151 304.5536 306.9534 308.1519 43576.39 43576.39 43702.33 43702.33
16 1600 100 10 0.06654737 304.5745 306.9827 308.188 45870.43 45870.43 45996.37 45996.37
17 1700 100 10 0.07655811 304.5914 307.0063 308.2202 48156.5 48156.5 48282.45 48282.45
18 1800 100 10 0.08658211 304.6039 307.0264 308.2496 50433.27 50433.27 50559.21 50559.21
19 1900 100 10 0.09659417 304.6138 307.0435 308.2761 52696.81 52696.81 52822.75 52822.75
20 2000 100 10 0.1066057 304.6252 307.0591 308.3011 54954.59 54954.59 55080.53 55080.53
21 2100 100 10 0.1165999 304.634 307.0735 308.3245 57204.48 57204.48 57330.42 57330.42
22 2200 100 10 0.1265532 304.6431 307.087 308.3465 59442.1 59442.1 59568.04 59568.04
23 2300 100 10 0.1365189 304.6512 307.1 308.3683 61680.66 61680.66 61806.6 61806.6
24 2400 100 10 0.1464779 304.6598 307.1127 308.3894 63916.77 63916.77 64042.71 64042.71
25 2500 100 10 0.1563966 304.6675 307.1251 308.4092 66142.81 66142.81 66268.75 66268.75
26 2600 100 10 0.1663255 304.674 307.1372 308.4288 68370.19 68370.19 68496.12 68496.12
27 2700 100 10 0.1762091 304.6816 307.1489 308.447 70586.27 70586.27 70712.21 70712.21
28 2800 100 10 0.1860778 304.6882 307.161 308.4662 72800.36 72800.36 72926.3 72926.3
29 2900 100 10 0.1959154 304.6953 307.173 308.4853 75007.14 75007.14 75133.08 75133.08
30 3000 100 10 0.2056946 304.7014 307.1848 308.5038 77200.2 77200.2 77326.13 77326.13
31 3100 100 10 0.2154598 304.7068 307.1968 308.5229 79391.23 79391.23 79517.18 79517.18
32 3200 100 10 0.2252075 304.7156 307.2088 308.5421 81578.57 81578.57 81704.51 81704.51
33 3300 100 10 0.234924 304.7202 307.2207 308.5607 83758.49 83758.49 83884.43 83884.43
34 3400 100 10 0.2445875 304.7271 307.2331 308.5802 85928.41 85928.41 86054.35 86054.35
35 3500 100 10 0.2542128 304.7343 307.2457 308.5996 88090.48 88090.48 88216.42 88216.42
36 3600 100 10 0.2638204 304.7408 307.258 308.6185 90248.07 90248.07 90374.01 90374.01
37 3700 100 10 0.2733839 304.7443 307.2703 308.6371 92395.63 92395.63 92521.58 92521.58
38 3800 100 10 0.2828846 304.7509 307.2831 308.6559 94531.03 94531.03 94656.97 94656.97
39 3900 100 10 0.2923839 304.7562 307.2962 308.676 96667.52 96667.52 96793.46 96793.46
40 4000 100 10 0.3018512 304.7625 307.3091 308.6949 98795.92 98795.92 98921.86 98921.86
41 4100 100 10 0.3112653 304.7704 307.3222 308.7143 100913.8 100913.8 101039.7 101039.7
42 4200 100 10 0.320643 304.7751 307.3358 308.7347 103025.3 103025.3 103151.2 103151.2
43 4300 100 10 0.3299881 304.7813 307.35 308.7555 105131.4 105131.4 105257.3 105257.3
44 4400 100 10 0.3392935 304.788 307.3643 308.7766 107229.6 107229.6 107355.5 107355.5
45 4500 100 10 0.3485469 304.7944 307.3787 308.7968 109316.3 109316.3 109442.2 109442.2
46 4600 100 10 0.3577743 304.8021 307.3935 308.818 111398.7 111398.7 111524.7 111524.7
47 4700 100 10 0.3669854 304.8061 307.4088 308.84 113479.5 113479.5 113605.4 113605.4
48 4800 100 10 0.3762181 304.8144 307.4247 308.8643 115567.4 115567.4 115693.4 115693.4
49 4900 100 10 0.3854254 304.8197 307.4406 308.8871 117649.2 117649.2 117775.2 117775.2
50 5000 100 10 0.3946081 304.8268 307.4571 308.9103 119728.1 119728.1 119854 119854
51 5100 100 10 0.4037698 304.8338 307.4739 308.9335 121803.4 121803.4 121929.4 121929.4
52 5200 100 10 0.412943 304.8415 307.4918 308.9591 123884.9 123884.9 124010.8 124010.8
53 5300 100 10 0.4221297 304.8473 307.511 308.987 125974.2 125974.2 126100.2 126100.2
54 5400 100 10 0.4313256 304.8556 307.5303 309.0141 128065.9 128065.9 128191.9 128191.9
55 5500 100 10 0.4405027 304.8638 307.5498 309.0405 130153.9 130153.9 130279.8 130279.8
56 5600 100 10 0.4496468 304.8727 307.5696 309.0667 132236 132236 132362 132362
57 5700 100 10 0.4587767 304.8813 307.5898 309.0933 134316.3 134316.3 134442.3 134442.3
58 5800 100 10 0.4678779 304.8878 307.6107 309.1201 136392.5 136392.5 136518.4 136518.4
59 5900 100 10 0.4769163 304.8968 307.6318 309.146 138456.1 138456.1 138582.1 138582.1
60 6000 100 10 0.4859321 304.9044 307.6537 309.1734 140517.3 140517.3 140643.2 140643.2
61 6100 100 10 0.4949351 304.915 307.6767 309.2024 142579.5 142579.5 142705.5 142705.5
62 6200 100 10 0.5039446 304.923 307.7008 309.2332 144647.2 144647.2 144773.1 144773.1
63 6300 100 10 0.5129248 304.932 307.7254 309.2632 146710.3 146710.3 146836.3 146836.3
64 6400 100 10 0.5218672 304.9407 307.7509 309.2935 148768 148768 148893.9 148893.9
65 6500 100 10 0.5307543 304.9503 307.777 309.3235 150815.9 150815.9 150941.8 150941.8
66 6600 100 10 0.5395873 304.9596 307.8041 309.3542 152855.4 152855.4 152981.3 152981.3
67 6700 100 10 0.5483883 304.9695 307.8314 309.385 154888.6 154888.6 155014.5 155014.5
68 6800 100 10 0.5571124 304.9805 307.8611 309.4171 156913.1 156913.1 157039 157039
69 6900 100 10 0.5657688 304.9886 307.8928 309.4503 158930 158930 159055.9 159055.9
70 7000 100 10 0.5743218 305.0001 307.9253 309.4832 160927.3 160927.3 161053.2 161053.2
71 7100 100 10 0.5828137 305.009 307.9603 309.5195 162919.6 162919.6 163045.6 163045.6
72 7200 100 10 0.5912118 305.0206 307.9973 309.5569 164898.5 164898.5 165024.5 165024.5
73 7300 100 10 0.5995287 305.0329 308.0358 309.595 166864.9 166864.9 166990.8 166990.8
74 7400 100 10 0.6077698 305.0441 308.0764 309.6353 168822.3 168822.3 168948.2 168948.2
75 7500 100 10 0.6159481 305.0581 308.1184 309.6768 170770.6 170770.6 170896.5 170896.5
76 7600 100 10 0.6240268 305.0718 308.1629 309.7195 172705.8 172705.8 172831.8 172831.8
77 7700 100 10 0.6320297 305.0854 308.2085 309.7632 174628.4 174628.4 174754.3 174754.3
78 7800 100 10 0.6399449 305.0984 308.2557 309.8076 176537.3 176537.3 176663.2 176663.2
79 7900 100 10 0.6477676 305.1145 308.3065 309.8547 178438.6 178438.6 178564.5 178564.5
80 8000 100 10 0.6554406 305.131 308.3619 309.9038 180323.2 180323.2 180449.2 180449.2
81 8100 100 10 0.6629087 305.1483 308.4253 309.9575 182191.3 182191.3 182317.3 182317.3
82 8200 100 10 0.6702645 305.1673 308.4903 310.0137 184040.3 184040.3 184166.3 184166.3
83 8300 100 10 0.677533 305.1888 308.5563 310.0726 185873.7 185873.7 185999.6 185999.6
84 8400 100 10 0.6847149 305.2105 308.6234 310.1329 187692 187692 187818 187818
85 8500 100 10 0.6917801 305.2322 308.6924 310.1939 189491.1 189491.1 189617 189617
86 8600 100 10 0.6986716 305.2579 308.7671 310.2572 191272.3 191272.3 191398.3 191398.3
87 8700 100 10 0.7054348 305.2853 308.8433 310.3219 193030.9 193030.9 193156.8 193156.8
88 8800 100 10 0.7120932 305.3102 308.9179 310.386 194760.6 194760.6 194886.5 194886.5
89 8900 100 10 0.7186972 305.3382 308.9928 310.4534 196479.5 196479.5 196605.4 196605.4
90 9000 100 10 0.7252244 305.3671 309.0671 310.52 198179 198179 198305 198305
91 9100 100 10 0.731679 305.3986 309.1414 310.5869 199862.8 199862.8 199988.7 199988.7
92 9200 100 10 0.7380329 305.432 309.2153 310.6525 201523 201523 201649 201649
93 9300 100 10 0.7442909 305.4664 309.2895 310.7182 203163.4 203163.4 203289.3 203289.3
94 9400 100 10 0.7504222 305.5022 309.3672 310.786 204788 204788 204913.9 204913.9
95 9500 100 10 0.7564376 305.5396 309.4465 310.8549 206392.8 206392.8 206518.7 206518.7
96 9600 100 10 0.7623299 305.5782 309.5277 310.9251 207977.4 207977.4 208103.3 208103.3
97 9700 100 10 0.7681576 305.6214 309.6098 310.9977 209550.9 209550.9 209676.9 209676.9
98 9800 100 10 0.7739163 305.6654 309.6911 311.0703 211106.7 211106.7 211232.6 211232.6
99 9900 100 10 0.7796051 305.7123 309.772 311.1429 212645.4 212645.4 212771.3 212771.3
100 10000 100 10 0.7851856 305.7562 309.8517 311.2133 214156 214156 214281.9 214281.9
101 10100 100 10 0.7906618 305.8013 309.9306 311.282 215640.7 215640.7 215766.6 215766.6
102 10200 100 10 0.7960437 305.85 310.0108 311.3524 217109.6 217109.6 217235.5 217235.5
103 10300 100 10 0.8013211 305.8983 310.091 311.4224 218555.3 218555.3 218681.2 218681.2
104 10400 100 10 0.8064982 305.9512 310.1706 311.4911 219976.7 219976.7 220102.6 220102.6
105 10500 100 10 0.8115612 306.0008 310.2495 311.5587 221370.8 221370.8 221496.7 221496.7
106 10600 100 10 0.8164948 306.0527 310.3293 311.6263 222739.6 222739.6 222865.5 222865.5
107 10700 100 10 0.8213118 306.1066 310.4097 311.6944 224084.6 224084.6 224210.6 224210.6
