"Time Step" "flow-time" "delta-time" "iters-per-timestep" "melting-francion" "outlet-temp" "pcm-temp" "pv-temp" "total-energy" "total-enternal-energy" "total-enthalpy" "total-entholpy-deviasion"
0 0 100 0 0 300.15 300.15 300.15 6114.127 6114.127 6224.699 6224.699
1 100 100 40 0 300.823 300.8492 302.1569 8290.211 8290.211 8400.783 8400.783
2 200 100 40 0 301.4198 301.6901 303.2406 10907.58 10907.58 11018.15 11018.15
3 300 100 40 0 301.9188 302.5225 304.1316 13498.2 13498.2 13608.77 13608.77
4 400 100 40 0 302.3787 303.3248 304.9271 15995.13 15995.13 16105.7 16105.7
5 500 100 40 0 302.7866 304.0692 305.6316 18312.28 18312.28 18422.85 18422.85
6 600 100 40 0 303.1641 304.7566 306.2675 20451.54 20451.54 20562.11 20562.11
7 700 100 40 0 303.5094 305.3896 306.8459 22421.58 22421.58 22532.16 22532.16
8 800 100 10 0.000752612 303.8097 305.943 307.3349 24283.66 24283.66 24394.23 24394.23
9 900 100 10 0.005003518 304.0511 306.3251 307.6299 26261.13 26261.13 26371.71 26371.71
10 1000 100 10 0.01185105 304.2187 306.5716 307.8062 28298.1 28298.1 28408.67 28408.67
11 1100 100 10 0.02036127 304.331 306.727 307.9207 30359.68 30359.68 30470.25 30470.25
12 1200 100 10 0.02979526 304.4111 306.8264 308.0011 32418.53 32418.53 32529.11 32529.11
13 1300 100 10 0.03978042 304.4605 306.8927 308.0627 34476.3 34476.3 34586.88 34586.88
14 1400 100 10 0.05009008 304.4995 306.9395 308.1125 36533.69 36533.69 36644.26 36644.26
15 1500 100 10 0.06054105 304.5235 306.9739 308.1533 38578.55 38578.55 38689.12 38689.12
16 1600 100 40 0.07109573 304.5428 307.001 308.1893 40620.18 40620.18 40730.76 40730.76
17 1700 100 40 0.08166664 304.5568 307.0226 308.2203 42647.65 42647.65 42758.22 42758.22
18 1800 100 40 0.09227199 304.5709 307.0415 308.2494 44672.94 44672.94 44783.51 44783.51
19 1900 100 12 0.1028377 304.5817 307.0583 308.2757 46684.16 46684.16 46794.73 46794.73
20 2000 100 40 0.1134009 304.5914 307.0731 308.2997 48689.11 48689.11 48799.69 48799.69
21 2100 100 10 0.1239569 304.6012 307.0876 308.3233 50691.74 50691.74 50802.31 50802.31
22 2200 100 2 0.1343455 304.6101 307.1015 308.3452 52661.31 52661.31 52771.89 52771.89
23 2300 100 2 0.1447492 304.6184 307.1145 308.3661 54630.9 54630.9 54741.47 54741.47
24 2400 100 1 0.1542148 304.6179 307.1273 308.3864 56425.95 56425.95 56536.52 56536.52
25 2500 100 40 0.1646824 304.6333 307.1388 308.4044 58402.75 58402.75 58513.32 58513.32
26 2600 100 10 0.1751084 304.6396 307.1514 308.4232 60375.01 60375.01 60485.58 60485.58
27 2700 100 10 0.1855503 304.6452 307.1637 308.442 62349.63 62349.63 62460.21 62460.21
28 2800 100 10 0.1959536 304.6519 307.1761 308.4606 64317.34 64317.34 64427.92 64427.92
29 2900 100 10 0.2063325 304.6594 307.1885 308.4795 66280.6 66280.6 66391.17 66391.17
30 3000 100 10 0.2166729 304.6646 307.201 308.4984 68236.62 68236.62 68347.19 68347.19
31 3100 100 10 0.2269808 304.672 307.2132 308.5166 70186.02 70186.02 70296.59 70296.59
32 3200 100 10 0.237264 304.6786 307.2255 308.5351 72131.25 72131.25 72241.83 72241.83
33 3300 100 5 0.2475106 304.6826 307.2379 308.5534 74069.64 74069.64 74180.22 74180.22
34 3400 100 1 0.2566518 304.6832 307.2503 308.5714 75803.42 75803.42 75913.99 75913.99
35 3500 100 10 0.2668511 304.695 307.2623 308.5897 77731.95 77731.95 77842.52 77842.52
36 3600 100 10 0.2770108 304.7004 307.2752 308.6085 79655.98 79655.98 79766.55 79766.55
37 3700 100 10 0.2871206 304.7078 307.2881 308.6271 81570.97 81570.97 81681.54 81681.54
38 3800 100 10 0.2971711 304.7141 307.3012 308.6456 83475.33 83475.33 83585.9 83585.9
39 3900 100 10 0.3072102 304.7189 307.3146 308.6652 85378.65 85378.65 85489.23 85489.23
40 4000 100 7 0.3171947 304.7259 307.328 308.6839 87271.55 87271.55 87382.13 87382.13
41 4100 100 10 0.3271414 304.7319 307.342 308.7039 89159.68 89159.68 89270.26 89270.26
42 4200 100 4 0.3370336 304.7374 307.3561 308.7237 91037.8 91037.8 91148.38 91148.38
43 4300 100 2 0.346794 304.7423 307.3708 308.7446 92893.49 92893.49 93004.06 93004.06
44 4400 100 2 0.3565086 304.7506 307.3853 308.7647 94739.79 94739.79 94850.36 94850.36
45 4500 100 9 0.3662853 304.7552 307.4002 308.7855 96599.16 96599.16 96709.73 96709.73
46 4600 100 1 0.3749688 304.7551 307.4147 308.8047 98254.41 98254.41 98364.98 98364.98
47 4700 100 10 0.3846864 304.7681 307.4294 308.8251 100102.3 100102.3 100212.9 100212.9
48 4800 100 1 0.3933461 304.7677 307.4448 308.8462 101755.9 101755.9 101866.5 101866.5
49 4900 100 1 0.4020161 304.7733 307.4599 308.8678 103410.6 103410.6 103521.1 103521.1
50 5000 100 1 0.4106444 304.779 307.4751 308.8885 105057.9 105057.9 105168.5 105168.5
51 5100 100 10 0.4203238 304.7921 307.4919 308.9118 106904.9 106904.9 107015.4 107015.4
52 5200 100 8 0.4299583 304.7994 307.5103 308.9362 108748.5 108748.5 108859 108859
53 5300 100 10 0.4395798 304.8043 307.5297 308.9626 110593.1 110593.1 110703.7 110703.7
54 5400 100 10 0.4492181 304.8123 307.55 308.9908 112443.7 112443.7 112554.2 112554.2
55 5500 100 4 0.4588804 304.8214 307.5707 309.0188 114299.6 114299.6 114410.2 114410.2
56 5600 100 4 0.4685221 304.8293 307.5916 309.0461 116152.5 116152.5 116263.1 116263.1
57 5700 100 1 0.4770245 304.8274 307.6114 309.0713 117790.6 117790.6 117901.2 117901.2
58 5800 100 1 0.4855282 304.8355 307.6311 309.096 119428.9 119428.9 119539.5 119539.5
59 5900 100 1 0.4940071 304.8424 307.6509 309.1205 121062.8 121062.8 121173.3 121173.3
60 6000 100 1 0.5024507 304.8501 307.6712 309.145 122691.7 122691.7 122802.2 122802.2
61 6100 100 3 0.5119452 304.8649 307.6945 309.1733 124524.5 124524.5 124635.1 124635.1
62 6200 100 2 0.5212894 304.8746 307.7199 309.2037 126336.5 126336.5 126447.1 126447.1
63 6300 100 1 0.5296263 304.8745 307.7441 309.2334 127957.6 127957.6 128068.2 128068.2
64 6400 100 1 0.5379306 304.8839 307.7682 309.2616 129572.4 129572.4 129683 129683
65 6500 100 6 0.5473202 304.9003 307.7955 309.2928 131398.6 131398.6 131509.2 131509.2
66 6600 100 1 0.5555358 304.9002 307.8219 309.3228 133004.2 133004.2 133114.8 133114.8
67 6700 100 1 0.5636334 304.9097 307.8488 309.3517 134589.4 134589.4 134699.9 134699.9
68 6800 100 5 0.5728095 304.9265 307.8815 309.3858 136392.6 136392.6 136503.2 136503.2
69 6900 100 2 0.5817561 304.9374 307.9166 309.4216 138160.9 138160.9 138271.5 138271.5
70 7000 100 2 0.590609 304.9471 307.9536 309.4591 139917.7 139917.7 140028.3 140028.3
71 7100 100 1 0.5983741 304.9477 307.9884 309.4952 141465.7 141465.7 141576.3 141576.3
72 7200 100 2 0.6070807 304.9681 308.0285 309.535 143205.1 143205.1 143315.7 143315.7
73 7300 100 1 0.6146791 304.969 308.0662 309.573 144731.3 144731.3 144841.9 144841.9
74 7400 100 1 0.6221896 304.9805 308.1047 309.6118 146243.8 146243.8 146354.4 146354.4
75 7500 100 1 0.6296515 304.9904 308.145 309.6512 147752.9 147752.9 147863.5 147863.5
76 7600 100 1 0.6370578 305.0021 308.1868 309.6917 149256.3 149256.3 149366.9 149366.9
77 7700 100 6 0.645447 305.029 308.2369 309.7366 150968 150968 151078.6 151078.6
78 7800 100 3 0.6536648 305.0432 308.2933 309.787 152667.2 152667.2 152777.8 152777.8
79 7900 100 1 0.6605999 305.0432 308.3499 309.8382 154129.4 154129.4 154240 154240
80 8000 100 1 0.6675121 305.0591 308.4084 309.8914 155593.2 155593.2 155703.8 155703.8
81 8100 100 1 0.6743386 305.0739 308.4676 309.9459 157043.1 157043.1 157153.7 157153.7
82 8200 100 1 0.6810939 305.0901 308.5272 309.9998 158481.5 158481.5 158592 158592
83 8300 100 2 0.6886612 305.1263 308.5961 310.0598 160099 160099 160209.5 160209.5
84 8400 100 1 0.6951452 305.1291 308.662 310.12 161506.3 161506.3 161616.9 161616.9
85 8500 100 1 0.7015243 305.1515 308.7308 310.1799 162903.3 162903.3 163013.9 163013.9
86 8600 100 8 0.7087957 305.1982 308.8082 310.2433 164492.8 164492.8 164603.3 164603.3
87 8700 100 8 0.715934 305.2237 308.8872 310.3107 166062.2 166062.2 166172.8 166172.8
88 8800 100 1 0.7220196 305.2238 308.9592 310.3764 167414.8 167414.8 167525.4 167525.4
89 8900 100 1 0.7280939 305.2497 309.03 310.442 168761.5 168761.5 168872.1 168872.1
90 9000 100 1 0.7340825 305.2763 309.0998 310.5062 170089 170089 170199.6 170199.6
91 9100 100 1 0.7400261 305.3038 309.1691 310.569 171407 171407 171517.6 171517.6
92 9200 100 1 0.7458825 305.3309 309.2381 310.6311 172707.7 172707.7 172818.2 172818.2
93 9300 100 10 0.752523 305.3956 309.3168 310.6965 174184 174184 174294.6 174294.6
94 9400 100 1 0.7581183 305.3957 309.3929 310.7635 175458.4 175458.4 175569 175569
95 9500 100 10 0.7645003 305.4694 309.4761 310.8335 176900.6 176900.6 177011.1 177011.1
96 9600 100 4 0.7707729 305.5122 309.5613 310.9077 178328.9 178328.9 178439.5 178439.5
97 9700 100 1 0.7761441 305.5119 309.6409 310.9805 179572.7 179572.7 179683.2 179683.2
98 9800 100 1 0.781457 305.5543 309.7175 311.0505 180796.2 180796.2 180906.8 180906.8
99 9900 100 1 0.7867021 305.5939 309.7941 311.1203 182007.1 182007.1 182117.7 182117.7
100 10000 100 1 0.7918645 305.6376 309.8702 311.1883 183201.4 183201.4 183312 183312
101 10100 100 4 0.797743 305.7276 309.9519 311.2576 184545.5 184545.5 184656.1 184656.1
102 10200 100 10 0.8034536 305.7786 310.0349 311.3278 185863 185863 185973.6 185973.6
103 10300 100 10 0.809029 305.8323 310.1208 311.4016 187164.1 187164.1 187274.7 187274.7
104 10400 100 6 0.8144596 305.8869 310.2059 311.4734 188436 188436 188546.6 188546.6
105 10500 100 1 0.8190274 305.8861 310.2877 311.5454 189537.3 189537.3 189647.9 189647.9
106 10600 100 1 0.823498 305.9391 310.3667 311.6137 190612.3 190612.3 190722.9 190722.9
107 10700 100 8 0.8285509 306.0479 310.4541 311.6842 191821.5 191821.5 191932 191932
108 10800 100 1 0.8326775 306.0465 310.539 311.7544 192850.8 192850.8 192961.4 192961.4

